{'epoch': 0, 'train_loss': 0.5240485108535708, 'test_accuracy': 0.779483496737318, 'test_neutral_accuracy': tensor(0.7951, device='cuda:0')}
{'epoch': 1, 'train_loss': 0.49230358698440874, 'test_accuracy': 0.7689148629603743, 'test_neutral_accuracy': tensor(0.7672, device='cuda:0')}
{'epoch': 2, 'train_loss': 0.4868627808248724, 'test_accuracy': 0.7772674657860581, 'test_neutral_accuracy': tensor(0.7726, device='cuda:0')}
{'epoch': 3, 'train_loss': 0.4849911034107208, 'test_accuracy': 0.780967518180406, 'test_neutral_accuracy': tensor(0.7682, device='cuda:0')}
{'epoch': 4, 'train_loss': 0.4837160407359363, 'test_accuracy': 0.7706364385124778, 'test_neutral_accuracy': tensor(0.7631, device='cuda:0')}
{'epoch': 5, 'train_loss': 0.4821043857408844, 'test_accuracy': 0.7717022782280332, 'test_neutral_accuracy': tensor(0.7683, device='cuda:0')}
{'epoch': 6, 'train_loss': 0.4806192999577704, 'test_accuracy': 0.7664284268204047, 'test_neutral_accuracy': tensor(0.7616, device='cuda:0')}
{'epoch': 7, 'train_loss': 0.479587170117684, 'test_accuracy': 0.782443283771982, 'test_neutral_accuracy': tensor(0.7673, device='cuda:0')}
{'epoch': 8, 'train_loss': 0.4783928142931625, 'test_accuracy': 0.787666355266052, 'test_neutral_accuracy': tensor(0.7727, device='cuda:0')}
{'epoch': 9, 'train_loss': 0.47717713536196993, 'test_accuracy': 0.7771942899340675, 'test_neutral_accuracy': tensor(0.7663, device='cuda:0')}
{'epoch': 10, 'train_loss': 0.4763347701034473, 'test_accuracy': 0.7867173552513123, 'test_neutral_accuracy': tensor(0.7723, device='cuda:0')}
{'epoch': 11, 'train_loss': 0.475714273921406, 'test_accuracy': 0.7989909884070052, 'test_neutral_accuracy': tensor(0.7807, device='cuda:0')}
{'epoch': 12, 'train_loss': 0.4749412930193748, 'test_accuracy': 0.7885257317906335, 'test_neutral_accuracy': tensor(0.7765, device='cuda:0')}
{'epoch': 13, 'train_loss': 0.47462421280282147, 'test_accuracy': 0.7870155353935397, 'test_neutral_accuracy': tensor(0.7730, device='cuda:0')}
{'epoch': 14, 'train_loss': 0.4739050478425645, 'test_accuracy': 0.7924696211101246, 'test_neutral_accuracy': tensor(0.7823, device='cuda:0')}
{'epoch': 15, 'train_loss': 0.47381237808984655, 'test_accuracy': 0.7860802245788834, 'test_neutral_accuracy': tensor(0.7748, device='cuda:0')}
{'epoch': 16, 'train_loss': 0.473555299275704, 'test_accuracy': 0.7955907283186101, 'test_neutral_accuracy': tensor(0.7837, device='cuda:0')}
{'epoch': 17, 'train_loss': 0.4731895388992688, 'test_accuracy': 0.7970691497634057, 'test_neutral_accuracy': tensor(0.7859, device='cuda:0')}
{'epoch': 18, 'train_loss': 0.47325732632902745, 'test_accuracy': 0.7996454676803277, 'test_neutral_accuracy': tensor(0.7858, device='cuda:0')}
{'epoch': 19, 'train_loss': 0.4727533576825193, 'test_accuracy': 0.7889148824068964, 'test_neutral_accuracy': tensor(0.7793, device='cuda:0')}
