{'epoch': 0, 'train_loss': 0.3949357739841665, 'test_accuracy': 0.8273764118856314, 'test_neutral_accuracy': tensor(0.7914, device='cuda:0')}
{'epoch': 1, 'train_loss': 0.3600393656555933, 'test_accuracy': 0.8327832242258552, 'test_neutral_accuracy': tensor(0.7895, device='cuda:0')}
{'epoch': 2, 'train_loss': 0.3469638583314328, 'test_accuracy': 0.8446463026157042, 'test_neutral_accuracy': tensor(0.7969, device='cuda:0')}
{'epoch': 3, 'train_loss': 0.33698138469503125, 'test_accuracy': 0.8454194608188811, 'test_neutral_accuracy': tensor(0.8008, device='cuda:0')}
{'epoch': 4, 'train_loss': 0.3321493421574585, 'test_accuracy': 0.8427119911933432, 'test_neutral_accuracy': tensor(0.7964, device='cuda:0')}
{'epoch': 5, 'train_loss': 0.32882536890852543, 'test_accuracy': 0.8514382218828007, 'test_neutral_accuracy': tensor(0.8039, device='cuda:0')}
{'epoch': 6, 'train_loss': 0.3260256974524214, 'test_accuracy': 0.850440780321757, 'test_neutral_accuracy': tensor(0.8054, device='cuda:0')}
{'epoch': 7, 'train_loss': 0.32584113747108984, 'test_accuracy': 0.8534342646598816, 'test_neutral_accuracy': tensor(0.8053, device='cuda:0')}
{'epoch': 8, 'train_loss': 0.32395804804245026, 'test_accuracy': 0.8513368757403627, 'test_neutral_accuracy': tensor(0.8029, device='cuda:0')}
{'epoch': 9, 'train_loss': 0.3231388716069797, 'test_accuracy': 0.8520414079127668, 'test_neutral_accuracy': tensor(0.8053, device='cuda:0')}
{'epoch': 10, 'train_loss': 0.3232010996523704, 'test_accuracy': 0.8518242065598365, 'test_neutral_accuracy': tensor(0.8039, device='cuda:0')}
{'epoch': 11, 'train_loss': 0.3233526941701656, 'test_accuracy': 0.8507731633932412, 'test_neutral_accuracy': tensor(0.8049, device='cuda:0')}
{'epoch': 12, 'train_loss': 0.3213018268801784, 'test_accuracy': 0.8557065976720278, 'test_neutral_accuracy': tensor(0.8076, device='cuda:0')}
{'epoch': 13, 'train_loss': 0.32177935461051593, 'test_accuracy': 0.8534521071278319, 'test_neutral_accuracy': tensor(0.8043, device='cuda:0')}
{'epoch': 14, 'train_loss': 0.3205822956471043, 'test_accuracy': 0.8545756498161627, 'test_neutral_accuracy': tensor(0.8073, device='cuda:0')}
{'epoch': 15, 'train_loss': 0.32016345449076355, 'test_accuracy': 0.8501245209148952, 'test_neutral_accuracy': tensor(0.7996, device='cuda:0')}
{'epoch': 16, 'train_loss': 0.320728127851741, 'test_accuracy': 0.8533537047249931, 'test_neutral_accuracy': tensor(0.8059, device='cuda:0')}
{'epoch': 17, 'train_loss': 0.3207761795466183, 'test_accuracy': 0.8549395479312559, 'test_neutral_accuracy': tensor(0.8063, device='cuda:0')}
{'epoch': 18, 'train_loss': 0.31964358619151223, 'test_accuracy': 0.855435851885348, 'test_neutral_accuracy': tensor(0.8079, device='cuda:0')}
{'epoch': 19, 'train_loss': 0.32123450127266745, 'test_accuracy': 0.8519764554743864, 'test_neutral_accuracy': tensor(0.8068, device='cuda:0')}
